No. of Characters,No. of Words,No. of Paragraphs,No. of Unique words,No. of Noun,No. of Adv,No. of Verb,No. of Adverb,Score
1538,338,1,56,83,18,74,24,7
1870,419,1,51,107,19,85,19,8
1263,279,1,50,82,20,52,16,6
2642,524,1,62,178,42,97,29,8
2105,465,1,49,114,32,90,36,7
1031,246,1,50,53,12,49,17,7
2310,499,1,48,136,31,80,38,8
2243,482,1,54,133,32,112,29,8
1960,443,1,55,110,32,86,30,8
2131,502,1,51,109,40,112,37,8
1639,325,1,49,88,31,70,20,7
1791,392,1,45,102,39,84,29,7
804,204,1,37,43,17,43,7,6
1311,307,1,32,81,35,57,12,5
816,176,1,38,57,15,30,10,5
2641,528,1,55,168,39,103,23,10
1470,335,1,44,71,19,74,23,7
1594,366,1,48,79,24,77,38,7
297,66,1,27,25,5,14,1,3
713,156,1,40,52,14,27,9,5
1683,367,1,46,83,27,75,39,7
262,56,1,31,20,2,8,1,3
2358,521,1,54,130,33,96,24,8
2658,559,1,59,157,48,104,34,9
1381,293,1,43,79,19,59,12,7
1645,360,1,51,101,19,75,15,8
531,120,1,37,32,10,24,8,3
1687,360,1,47,95,33,74,20,8
1692,371,1,49,94,24,75,22,8
1165,257,1,41,63,21,70,12,7
2132,472,1,55,117,38,92,39,8
2277,492,1,56,140,28,102,33,8
751,167,1,46,49,16,30,9,5
1517,362,1,46,104,25,70,21,7
1871,413,1,50,96,31,94,21,8
2474,542,1,59,125,46,105,34,8
2167,488,1,50,117,44,103,25,10
1516,353,1,42,78,23,71,18,7
1943,445,1,46,119,29,80,29,8
833,190,1,47,57,10,42,0,6
180,41,1,27,12,2,8,1,2
1201,282,1,44,63,21,51,19,7
637,140,1,40,37,10,28,5,5
1324,313,1,47,101,18,59,19,7
1389,322,1,47,94,22,47,24,7
1333,298,1,40,76,17,75,7,7
1330,314,1,46,87,20,54,27,7
2309,544,1,53,127,33,101,48,9
1489,315,1,40,80,24,55,22,5
390,83,1,28,21,8,13,8,4
2221,571,1,44,92,30,123,47,8
1083,241,1,42,65,17,48,13,6
1791,424,1,50,88,14,98,31,7
1886,415,1,53,118,28,80,30,8
1127,237,1,46,58,15,40,24,7
2409,469,1,47,133,33,89,24,8
1433,291,1,48,81,31,63,13,8
882,197,1,46,43,12,41,13,6
2030,442,1,49,111,34,84,18,7
344,68,1,36,23,7,14,0,3
1381,301,1,41,75,24,68,26,7
1218,283,1,46,73,23,72,6,7
1305,290,1,45,65,17,56,13,7
899,217,1,36,52,6,45,15,6
1901,414,1,45,88,28,90,33,8
1744,371,1,45,84,22,82,30,8
1336,293,1,43,83,20,56,23,7
1830,390,1,51,100,27,90,33,8
1016,241,1,46,53,14,55,15,6
2113,422,1,61,127,33,69,26,10
1955,447,1,48,120,13,87,22,8
2695,527,1,52,131,48,122,30,8
1778,386,1,56,105,30,69,29,7
1363,297,1,40,81,18,71,28,6
1703,348,1,44,95,41,70,22,7
1498,298,1,51,110,18,60,20,7
2494,522,1,54,147,42,123,34,8
1953,420,1,56,136,24,72,34,8
1641,381,1,47,101,23,67,17,8
1933,408,1,54,114,42,85,34,7
1562,363,1,47,82,35,77,12,7
1377,281,1,47,73,16,58,18,7
877,208,1,36,41,15,48,11,6
801,202,1,37,42,7,38,12,5
2470,543,1,49,110,53,115,38,8
2095,419,1,48,145,46,66,21,7
1940,414,1,54,102,38,81,35,8
1796,441,1,46,79,26,96,45,8
1035,232,1,31,61,9,50,7,5
1011,229,1,49,61,16,45,10,6
1048,232,1,41,66,11,42,23,7
2858,651,1,65,162,41,137,33,9
2682,539,1,55,184,37,82,29,9
1372,313,1,48,72,19,71,22,7
2012,462,1,61,101,28,93,34,8
1049,230,1,48,68,14,42,13,6
1387,294,1,51,84,22,63,17,7
1952,411,1,56,115,25,95,34,9
1572,348,1,60,102,18,75,15,7
953,234,1,50,64,23,48,5,6
2165,467,1,55,126,30,96,42,8
1455,330,1,47,75,19,72,16,7
1744,393,1,56,94,30,78,24,8
1851,401,1,45,108,18,98,26,8
2312,537,1,50,136,30,111,38,8
1751,361,1,51,92,28,80,22,9
3034,631,1,56,178,43,126,32,8
1609,366,1,50,97,27,76,25,7
1463,348,1,43,77,20,70,26,7
1036,236,1,46,66,24,41,15,5
2668,549,1,59,155,43,112,33,9
1851,410,1,58,115,23,82,26,8
1502,328,1,47,89,17,71,29,7
1915,407,1,52,103,23,84,27,7
2051,508,1,63,110,29,109,48,8
267,53,1,27,15,4,11,6,3
1437,319,1,47,74,26,65,25,7
2197,435,1,58,153,31,70,23,10
2097,485,1,55,106,33,111,39,8
1564,373,1,50,82,26,76,26,7
1528,370,1,53,96,24,69,25,7
2449,533,1,54,157,36,100,35,8
1857,411,1,43,98,24,90,25,8
1084,273,1,39,53,14,56,12,6
712,175,1,27,32,11,48,10,4
1221,280,1,44,65,16,57,18,7
1829,402,1,41,98,28,75,27,8
1861,406,1,49,99,23,81,34,8
1744,416,1,52,100,18,80,35,8
2836,603,1,47,158,57,111,24,8
2002,420,1,56,126,32,87,28,8
2190,425,1,56,138,30,79,30,9
2227,507,1,57,130,47,97,37,8
1811,400,1,42,99,27,84,29,8
1188,261,1,45,72,10,56,15,6
2356,542,1,57,142,23,128,53,8
1054,243,1,39,74,14,40,9,6
1913,401,1,49,118,30,71,17,8
766,180,1,42,44,7,37,14,6
1680,360,1,44,90,33,75,23,8
2591,575,1,55,141,33,120,41,8
1930,381,1,52,90,24,84,31,8
1284,303,1,47,85,18,61,21,6
1898,441,1,43,111,24,96,23,8
1918,362,1,45,103,29,72,24,8
785,185,1,47,45,11,32,12,5
2826,595,1,54,168,49,117,35,10
1342,306,1,40,79,25,59,22,8
1891,436,1,42,110,40,79,10,7
1342,303,1,50,103,14,48,15,7
1022,245,1,34,53,10,53,18,7
858,172,1,37,53,18,34,3,5
2134,489,1,50,106,36,105,35,8
2019,423,1,53,111,29,79,31,10
2017,437,1,51,123,38,90,30,8
1444,333,1,48,78,26,61,26,7
2115,449,1,57,137,34,87,26,8
1756,353,1,49,109,28,58,27,8
2206,462,1,54,126,39,96,28,8
1258,273,1,38,71,36,65,13,7
1925,417,1,56,120,23,84,18,8
2535,534,1,57,145,28,104,38,10
1151,232,1,41,76,18,53,12,7
1223,245,1,39,77,25,46,16,7
1793,372,1,55,103,33,79,19,8
2547,537,1,61,144,55,108,34,8
1395,331,1,55,73,29,60,21,7
2155,447,1,48,111,48,79,33,8
784,150,1,45,44,12,28,7,5
1472,335,1,54,73,25,68,25,7
1303,322,1,38,65,25,61,25,7
1092,255,1,46,52,17,48,18,7
1144,256,1,41,66,17,44,16,7
1501,349,1,44,89,21,81,20,7
1545,330,1,53,85,27,63,17,7
1751,381,1,44,92,26,90,31,8
1287,326,1,43,73,23,64,14,7
1342,268,1,53,95,15,43,13,7
1349,275,1,51,81,24,54,14,7
1889,439,1,55,104,41,85,28,8
2248,442,1,57,145,25,84,29,8
1283,293,1,41,75,26,68,10,7
1873,393,1,55,100,34,82,32,7
1551,387,1,42,74,18,90,25,7
1973,466,1,47,106,21,111,20,7
1514,335,1,45,88,29,76,13,7
472,111,1,29,29,9,23,3,4
1783,411,1,47,99,27,84,27,8
634,126,1,45,38,6,34,5,5
1545,319,1,47,85,32,65,19,8
1148,244,1,43,50,12,55,24,7
2293,488,1,51,143,36,94,24,9
1801,399,1,50,108,24,64,31,7
2416,521,1,55,144,46,95,27,8
569,123,1,50,31,10,25,12,4
1538,382,1,46,100,25,77,14,7
2176,521,1,59,113,25,106,26,8
2038,422,1,54,111,31,81,26,8
3479,738,1,60,213,53,154,54,9
1680,361,1,46,98,21,83,34,7
1862,395,1,55,93,41,83,26,8
1720,376,1,42,83,30,72,25,7
2063,497,1,37,87,24,108,44,8
1711,368,1,58,99,17,83,23,8
2648,560,1,62,150,46,111,47,8
1755,363,1,54,99,31,74,18,8
1304,280,1,45,80,18,62,15,7
762,150,1,33,47,12,25,7,5
695,165,1,38,40,14,37,8,5
1812,377,1,45,107,38,77,20,8
775,190,1,43,38,15,35,17,5
1093,269,1,41,71,18,58,9,6
1219,315,1,39,62,14,78,21,7
1476,305,1,57,94,21,55,17,7
2824,553,1,57,188,48,100,35,8
1710,400,1,44,93,20,86,20,7
2354,524,1,64,124,23,116,44,8
1437,340,1,53,89,20,56,23,7
1756,387,1,54,103,26,74,40,8
2121,431,1,57,133,33,93,22,8
955,206,1,44,54,16,35,19,5
2192,437,1,61,144,24,90,20,8
1860,426,1,57,125,21,81,19,7
1552,341,1,51,104,21,66,26,7
2369,531,1,52,117,38,115,40,10
1166,248,1,45,69,15,47,15,7
1688,362,1,48,104,21,83,24,8
1385,299,1,49,88,20,55,16,7
1176,275,1,51,61,26,62,24,7
1998,453,1,49,116,28,87,30,8
1273,274,1,47,74,21,58,21,7
2577,534,1,58,136,44,108,44,10
960,193,1,41,66,23,28,7,6
1826,407,1,50,101,30,75,23,7
1280,298,1,41,70,21,57,19,6
790,201,1,40,43,11,48,13,5
1457,316,1,50,81,10,74,17,7
1395,321,1,36,77,32,59,29,8
2013,438,1,39,95,39,95,47,8
1181,254,1,54,84,11,47,12,7
1142,246,1,48,63,15,48,14,8
1953,431,1,56,120,18,86,24,8
2506,632,1,51,132,28,135,41,9
1404,352,1,41,73,28,77,20,6
704,167,1,29,33,6,38,10,6
2956,647,1,58,156,44,136,43,9
1837,404,1,50,102,31,80,24,7
2031,484,1,53,106,42,101,30,8
1625,336,1,52,109,35,58,18,8
1451,309,1,49,83,27,55,28,8
2412,556,1,53,113,38,119,46,8
1822,408,1,46,106,24,73,34,8
983,221,1,46,60,25,45,17,5
2420,574,1,51,135,25,119,47,8
1391,328,1,46,78,17,70,28,7
1268,283,1,50,75,25,47,14,7
1840,429,1,45,110,25,93,15,7
2422,524,1,50,115,44,105,45,9
1956,430,1,50,94,32,97,27,8
1368,310,1,46,73,23,68,24,6
2012,444,1,50,110,27,104,29,8
1187,293,1,48,55,15,70,21,7
2468,526,1,56,165,37,99,22,8
1732,369,1,49,95,30,73,25,7
1835,399,1,62,109,24,81,23,9
1992,396,1,59,111,28,79,23,9
2246,450,1,58,133,31,99,27,8
1233,263,1,46,61,15,62,14,7
1765,402,1,53,106,18,85,32,8
1630,390,1,45,79,31,97,27,7
1363,322,1,47,61,10,66,26,7
2383,512,1,60,152,44,100,28,8
1334,295,1,46,90,22,54,22,7
1783,386,1,59,110,20,68,31,8
1940,392,1,53,117,35,70,32,9
1175,264,1,44,66,19,58,14,7
1881,419,1,57,104,30,71,30,8
1445,301,1,47,76,18,64,25,7
2097,435,1,51,132,28,80,16,8
1829,398,1,54,125,24,67,32,8
1021,222,1,50,64,17,35,14,6
1510,313,1,53,92,18,52,12,7
890,223,1,40,44,9,54,12,5
1303,306,1,40,73,20,63,13,7
2385,550,1,56,129,30,101,53,9
281,63,1,38,22,2,12,1,3
2624,550,1,63,161,27,113,34,10
1523,343,1,42,80,24,67,29,7
1840,400,1,49,101,33,85,24,8
2584,537,1,48,136,54,103,47,9
2138,437,1,53,121,35,84,21,9
2449,523,1,61,161,28,98,29,9
1060,227,1,47,69,23,49,8,7
1997,464,1,51,116,24,93,27,8
1652,354,1,41,88,28,68,21,8
2125,506,1,51,117,26,109,19,8
2210,472,1,48,127,33,82,18,8
1689,377,1,45,92,29,70,16,7
1442,330,1,46,83,32,72,14,7
2267,486,1,57,144,27,103,39,7
1669,355,1,61,108,22,74,19,8
2841,573,1,58,163,47,104,25,8
2001,442,1,51,110,39,89,33,8
2384,529,1,52,144,32,97,42,8
2109,482,1,61,114,22,95,26,8
2010,450,1,44,101,24,106,21,7
1559,335,1,51,80,20,75,33,8
496,127,1,35,25,3,32,8,5
1779,398,1,50,102,25,84,34,8
1855,365,1,50,107,30,65,29,8
1527,353,1,44,87,15,63,23,8
989,233,1,46,51,23,57,9,6
1654,360,1,49,97,26,72,25,8
2038,418,1,51,117,44,74,24,8
2612,537,1,49,151,37,106,29,8
2400,494,1,50,139,33,114,24,8
1789,397,1,47,104,26,78,38,7
1804,368,1,59,99,22,72,28,8
1402,323,1,47,93,24,65,15,7
2475,532,1,56,155,53,111,21,10
1439,321,1,53,81,15,72,20,7
1786,413,1,48,88,28,93,23,8
1514,329,1,42,92,18,66,17,7
1707,393,1,46,85,37,80,45,8
3283,652,1,55,189,55,115,43,8
1610,400,1,46,85,27,84,29,5
1489,343,1,41,85,22,81,15,7
1408,347,1,41,67,22,83,18,7
3113,642,1,58,190,34,137,29,9
2133,468,1,51,107,33,98,31,8
1304,286,1,52,88,11,65,17,7
1781,378,1,59,114,29,76,20,8
3020,706,1,60,169,39,143,52,8
1506,345,1,54,81,22,77,30,8
2495,529,1,58,134,40,97,31,9
1457,281,1,52,88,33,53,24,8
903,215,1,43,52,4,51,11,7
2444,527,1,56,134,38,114,31,9
1724,348,1,53,95,33,72,27,8
1227,277,1,43,77,16,57,15,7
2138,456,1,53,143,28,80,21,8
1677,360,1,53,99,31,89,16,8
1877,426,1,54,122,24,84,25,8
3161,680,1,63,180,59,128,46,10
1050,259,1,42,49,20,62,16,6
1351,321,1,49,88,15,61,13,7
1118,266,1,46,60,21,50,21,7
1755,404,1,43,102,22,85,31,7
1670,354,1,42,94,22,81,15,8
1025,221,1,46,67,8,50,8,6
521,127,1,30,35,4,27,6,4
1232,254,1,50,82,15,47,9,7
858,218,1,40,45,13,42,16,5
1262,271,1,54,81,19,46,18,7
1211,255,1,44,65,27,56,17,7
926,195,1,46,48,15,42,8,6
40,8,1,21,2,1,3,0,2
815,180,1,50,44,10,38,14,5
2448,540,1,47,135,34,104,34,8
2237,470,1,55,114,49,97,26,8
1152,262,1,37,68,22,49,19,7
2995,592,1,53,152,46,113,48,9
2048,427,1,48,131,43,83,22,8
1615,364,1,56,89,20,85,34,7
1579,342,1,48,87,24,64,19,7
1500,307,1,45,98,18,82,21,8
1134,237,1,52,66,16,51,17,7
2902,606,1,63,179,43,108,28,8
1440,319,1,48,76,17,74,17,7
2206,455,1,59,135,40,97,34,8
1323,271,1,50,71,20,65,8,7
1733,405,1,42,89,24,92,21,6
576,159,1,31,36,8,36,10,3
2040,452,1,51,139,31,100,16,7
2202,456,1,57,126,32,94,28,8
2035,468,1,50,107,28,99,21,9
1999,465,1,51,106,30,86,24,8
1465,307,1,55,86,26,53,14,8
2124,470,1,53,128,42,85,37,8
1125,245,1,51,62,14,56,14,6
2266,489,1,59,104,27,113,20,9
1108,247,1,49,67,21,49,15,7
3105,617,1,59,197,51,105,20,9
1827,441,1,52,98,31,83,21,8
1518,315,1,50,86,28,61,27,7
1190,273,1,43,70,16,56,16,6
1425,302,1,41,68,25,60,40,7
1832,420,1,36,92,30,90,35,8
2366,532,1,54,121,43,114,54,10
1728,381,1,37,93,28,84,18,7
1427,306,1,51,76,35,69,10,7
680,164,1,32,33,14,32,9,6
691,170,1,42,40,10,31,12,5
1524,353,1,48,98,24,59,23,6
2514,550,1,55,120,49,126,45,8
1975,416,1,55,95,37,85,27,8
1883,423,1,50,107,30,86,30,7
1647,348,1,47,99,26,65,26,7
686,158,1,37,42,7,33,10,5
1356,289,1,47,91,12,56,20,7
2124,482,1,44,118,30,107,24,7
1628,378,1,52,98,21,73,21,7
3309,700,1,54,216,50,132,35,8
1994,427,1,48,109,26,100,51,7
1627,375,1,49,91,26,83,22,7
1483,305,1,42,81,13,57,27,7
1650,344,1,53,115,15,76,12,7
1403,329,1,45,81,22,64,23,7
2491,498,1,58,134,52,89,45,10
2099,446,1,51,117,26,85,26,8
1790,392,1,60,116,30,74,25,8
1472,347,1,44,79,19,72,22,7
1464,340,1,45,69,15,76,25,6
708,166,1,35,31,18,38,12,5
1093,256,1,44,63,13,52,16,7
3091,596,1,57,183,40,111,24,10
951,219,1,44,53,21,47,4,5
1204,257,1,49,75,15,51,12,7
917,212,1,36,44,17,38,21,5
1331,332,1,46,55,19,85,25,6
2242,506,1,50,128,33,103,25,8
2268,468,1,62,149,23,93,30,8
2027,466,1,48,102,45,93,35,8
2016,439,1,54,114,38,87,22,8
2426,503,1,58,122,40,110,46,9
1532,327,1,49,95,14,56,28,7
1740,387,1,47,86,46,71,29,8
2413,566,1,56,149,41,108,48,7
2327,482,1,57,130,34,104,28,9
1364,284,1,58,92,23,46,18,7
2182,474,1,47,132,27,101,39,9
1384,342,1,33,58,19,87,25,6
2620,619,1,48,131,41,125,62,9
1867,392,1,49,111,36,74,21,7
1539,335,1,51,76,30,72,22,7
1439,305,1,48,83,16,72,25,7
1952,441,1,44,93,33,99,25,8
1306,309,1,46,59,19,67,22,7
1929,402,1,55,107,31,98,22,7
1945,410,1,53,114,22,81,13,8
1273,285,1,46,82,16,60,12,7
1733,334,1,61,124,23,58,12,7
1001,237,1,44,59,5,42,8,7
2293,455,1,61,153,32,91,19,8
2494,515,1,62,153,34,111,36,9
1995,419,1,56,134,35,70,26,8
101,23,1,24,7,2,5,0,2
1209,284,1,40,57,21,64,14,6
1618,369,1,57,72,22,73,36,7
912,203,1,38,52,19,42,9,6
1982,413,1,52,117,35,81,33,8
1947,464,1,53,100,37,100,31,7
379,90,1,29,20,5,20,7,3
1532,348,1,46,89,17,74,33,6
2336,489,1,55,133,47,87,26,8
1294,275,1,40,70,21,50,20,8
1248,290,1,52,76,14,51,14,7
2153,466,1,58,145,22,84,24,7
1521,346,1,52,78,30,62,27,7
1566,357,1,52,80,38,67,30,7
1984,430,1,52,108,33,92,24,7
1137,266,1,44,74,15,54,9,6
1416,303,1,45,85,26,59,18,7
1506,334,1,50,95,26,65,15,8
1595,321,1,47,86,25,57,17,7
870,187,1,43,56,13,31,6,7
1823,373,1,50,110,44,66,21,8
1615,339,1,57,100,26,69,12,7
1220,259,1,39,72,16,59,11,7
2384,511,1,62,158,51,87,28,10
1106,278,1,41,58,12,62,12,6
525,128,1,42,31,5,25,3,5
2145,461,1,53,123,32,104,34,8
1525,362,1,47,98,18,77,24,7
882,180,1,46,47,9,43,13,5
1762,374,1,53,89,32,69,34,7
2160,459,1,55,127,31,97,30,8
1391,311,1,44,94,22,67,12,7
2368,467,1,58,163,21,84,20,8
1831,390,1,47,109,20,92,19,8
1721,405,1,49,101,27,80,23,8
997,207,1,41,62,21,36,11,6
2150,485,1,55,131,33,112,33,8
2307,498,1,54,118,38,105,46,8
1339,309,1,50,61,16,70,40,7
1424,324,1,43,85,21,64,30,7
2419,522,1,54,144,34,95,31,8
2311,531,1,54,123,38,109,30,7
1465,367,1,46,84,24,74,15,7
1356,307,1,45,73,26,69,17,6
1222,276,1,45,77,11,63,10,7
1978,413,1,47,97,32,87,39,8
1435,305,1,52,81,30,62,13,7
1450,316,1,51,101,15,63,17,8
2903,647,1,48,144,48,141,66,8
2625,533,1,61,195,34,94,27,10
1762,406,1,54,95,21,86,25,8
1995,405,1,55,125,26,76,29,8
1593,352,1,60,97,24,78,21,7
593,129,1,39,37,3,30,3,6
1078,235,1,38,57,18,52,18,7
2410,491,1,52,139,38,94,35,8
1746,405,1,58,106,28,73,37,8
1146,282,1,37,42,22,59,20,6
2943,620,1,52,156,45,156,49,8
1530,304,1,52,88,28,64,12,8
1939,404,1,49,112,34,72,31,9
1214,256,1,47,71,25,53,16,6
1099,260,1,44,71,17,53,16,7
1217,302,1,41,67,20,66,30,7
1769,390,1,48,99,24,75,31,7
1043,221,1,51,67,19,39,10,7
1251,304,1,43,58,16,81,20,7
2097,444,1,53,97,35,92,38,7
1582,386,1,47,84,32,89,27,7
1515,318,1,48,105,34,49,15,7
2426,507,1,54,157,42,102,26,10
1185,273,1,46,87,19,48,10,5
1068,239,1,41,51,9,59,19,6
2050,427,1,47,106,38,89,31,8
2196,483,1,49,123,45,91,42,8
1642,384,1,53,100,13,79,23,7
1493,344,1,48,74,31,62,23,8
1207,286,1,44,68,9,62,16,6
1142,243,1,49,73,10,41,14,7
817,192,1,32,43,11,34,14,5
1068,229,1,44,58,10,40,18,6
1947,408,1,56,129,29,73,37,8
1774,402,1,51,90,20,78,31,8
1716,387,1,39,94,20,88,23,7
1978,442,1,52,110,30,85,25,7
3867,750,1,65,232,43,149,50,9
1508,356,1,47,82,15,66,22,7
1597,331,1,50,100,28,47,16,7
1444,331,1,47,87,21,64,17,7
1308,328,1,41,76,15,73,37,7
1629,376,1,43,92,21,74,25,8
1521,347,1,49,80,16,71,12,7
1798,417,1,48,103,17,93,19,7
2460,527,1,59,138,31,97,36,8
1345,300,1,52,69,24,63,14,7
1706,339,1,51,106,24,55,21,7
73,16,1,23,4,2,6,0,2
678,158,1,40,38,15,29,10,5
1730,372,1,44,92,18,71,20,7
1789,384,1,51,105,25,82,18,7
1733,333,1,52,99,22,77,23,7
2764,593,1,53,161,45,127,33,8
1761,379,1,45,127,33,75,11,7
937,200,1,56,53,16,39,5,5
1819,412,1,36,97,31,80,27,7
1854,415,1,46,98,28,82,22,7
2493,526,1,54,139,41,123,26,9
2286,529,1,56,134,34,112,34,8
2393,548,1,50,127,33,117,37,8
2309,468,1,52,121,39,90,41,8
2475,504,1,61,167,43,84,30,10
1627,369,1,49,89,32,76,32,7
1446,329,1,50,92,23,70,15,7
2174,478,1,56,121,47,100,35,8
879,183,1,48,53,17,38,6,6
2039,418,1,57,140,42,86,15,7
2066,466,1,51,106,43,102,25,8
1252,265,1,41,76,20,51,12,7
1099,255,1,41,61,19,49,14,7
1874,421,1,46,104,26,88,34,7
1352,319,1,42,76,17,67,15,7
2053,486,1,56,104,33,100,34,7
1801,365,1,53,118,34,75,20,8
2723,557,1,47,147,43,107,49,9
2779,590,1,55,160,42,129,27,8
1118,257,1,50,56,13,60,13,7
2021,414,1,52,125,27,76,21,8
1677,367,1,49,91,19,78,18,7
631,148,1,41,33,10,33,10,5
1162,262,1,43,68,13,60,10,8
1558,351,1,51,101,22,68,23,7
1995,477,1,55,107,26,103,41,7
1733,379,1,49,93,27,80,15,7
1900,387,1,49,104,34,86,15,9
1960,488,1,50,103,28,114,40,8
2192,528,1,46,123,23,112,40,8
3040,628,1,54,153,51,145,50,9
1312,297,1,44,79,18,56,14,7
1678,403,1,48,102,22,92,18,8
2394,524,1,56,144,43,99,29,8
444,101,1,39,21,8,24,8,4
612,148,1,43,31,10,33,12,5
1616,377,1,48,83,23,82,27,7
1147,235,1,49,72,25,49,13,7
